Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental,Guest_number,range_start,range_end,Cost_per_person,Total_Estimate
How much does a spring wedding with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Fun Modern Experience. The wedding color theme is Ivory. The estimated cost for this wedding is $31640.,Spring Wedding,None specified,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $253 to the total amount spent.,an event facility,Ivory,None,None,None,31640,1660,714,138,241,794,10340,2487,2901,920,125,0,150,253,51835
How much does a fall wedding in Greenville sc with 50 to 100 guests cost? The ceremony is at a wedding chapel and reception is at an event facility. The type of wedding is DIY Garden Unique. The wedding color theme is Reds. The estimated cost for this wedding is $14174.,Fall Wedding,Greenville sc,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $189 to the total amount spent.,a wedding chapel,DIY Garden Unique,Beauty Health & Spa (Hair Makeup etc.),Event Food Service Catering Bar Service,Photography & Video,14174,3048,238,189,252,746,2378,818,819,285,75,0,100,189,22947
How much does a summer wedding in Boston MA with 100 to 150 guests cost? The type of wedding is Destination Unique Intimate. The wedding color theme is Reds. The estimated cost for this wedding is $41039.,Summer Wedding,Boston MA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $328 to the total amount spent.,Reds,None,None,None,None,41039,3878,445,211,325,1270,7570,1559,2890,621,125,0,150,328,59808
How much does a wedding in Austin TX with 25 to 50 guests cost? The wedding is at an event facility. The type of wedding is Traditional Vintage Intimate. The wedding color theme is Ivory. The estimated cost for this wedding is $26219.,None specified,Austin TX,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $690 to the total amount spent.,an event facility,Ivory,None,None,None,26219,3684,118,244,263,1884,1866,399,1550,139,38,0,50,690,36366
How much does a wedding in Austin TX with 50 to 100 guests cost? The wedding is at a ranch. The type of wedding is Traditional Vintage Intimate. The wedding color theme is Ivory. The estimated cost for this wedding is $34249.,None specified,Austin TX,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $457 to the total amount spent.,a ranch,Ivory,None,None,None,34249,3726,245,244,263,4226,3871,835,1872,290,75,0,100,457,49821
How much does a winter wedding in Providence RI with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Fun Simple Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $40591.,Winter Wedding,Providence RI,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $232 to the total amount spent.,a church or other place of worship,Fun Simple Traditional,Entertainment (DJ Live Band Musician/s etc.),Event Location/Venue,Photography & Video,40591,1789,680,287,317,1568,9735,1269,1069,1037,175,0,200,232,58342
How much does a summer wedding in Athens GA with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Romantic Farm/Barn Intimate. The wedding color theme is Champagne. The estimated cost for this wedding is $21409.,Summer Wedding,Athens GA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $285 to the total amount spent.,a farm or barn,Champagne,None,None,None,21409,1753,257,230,255,858,3801,852,1896,349,75,0,100,285,31660
How much does a spring wedding in Tarpon Springs FL with less than 25 guests cost? The wedding is at an event facility. The type of wedding is Elegant Romantic Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $8024.,Spring Wedding,Tarpon Springs FL,This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $535 to the total amount spent.,an event facility,Blues,None,None,None,8024,1686,51,182,259,464,1631,1426,43,38,15,0,25,535,13804
How much does a fall wedding in Chicago IL with 50 to 100 guests cost? The type of wedding is DIY Fun Simple. The wedding color theme is Other. The estimated cost for this wedding is $18277.,Fall Wedding,Chicago IL,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $244 to the total amount spent.,Other,None,None,None,None,18277,3009,205,156,271,1196,3424,698,1045,252,75,0,100,244,28533
How much does a wedding in Rochester NY with 50 to 100 guests cost? The type of wedding is Elegant Romantic Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $22042.,None specified,Rochester NY,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $294 to the total amount spent.,Blues,None,None,None,None,22042,2309,297,303,321,1398,4801,1058,538,153,75,0,100,294,33220
How much does a summer wedding in New York NY with 200 to 300 guests cost? The wedding is at a historical building. The type of wedding is DIY Elegant Romantic. The wedding color theme is Blues. The estimated cost for this wedding is $71621.,Summer Wedding,New York NY,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $286 to the total amount spent.,a historical building,Blues,None,None,None,71621,3521,1057,321,7123,18295,18698,4509,1423,2328,250,0,300,286,128896
How much does a fall wedding in Weatherford TX with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Romantic Rustic Simple. The wedding color theme is Blues. The estimated cost for this wedding is $42487.,Fall Wedding,Weatherford TX,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $170 to the total amount spent.,an event facility,Blues,None,None,None,42487,2476,867,243,272,1255,14581,3148,2286,1111,250,0,300,170,68726
How much does a fall wedding in Slidell LA with 25 to 50 guests cost? The wedding is at a family or friends home. The type of wedding is DIY Simple Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $8772.,Fall Wedding,Slidell LA,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $231 to the total amount spent.,a family or friends home,Oranges,None,None,None,8772,1445,99,1574,332,568,126,1022,2161,1382,38,0,50,231,17481
How much does a fall wedding in Charlotte NC with more than 300 guests cost? The wedding is at a resort or hotel. The type of wedding is Rustic. The wedding color theme is Blues. The estimated cost for this wedding is $72837.,Fall Wedding,Charlotte NC,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $182 to the total amount spent.,a resort or hotel,Blues,None,None,None,72837,2549,2005,150,261,3076,21440,7611,6311,2674,400,0,300,182,118914
How much does a summer wedding in South Padre Island TX with 25 to 50 guests cost? The ceremony is at the beach and reception is at a resort or hotel. The type of wedding is Beach Elegant Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $21721.,Summer Wedding,South Padre Island TX,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $572 to the total amount spent.,the beach,Beach Elegant Intimate,Attire & Accessories (Wedding Dress Suit etc.),Event Food Service Catering Bar Service,Planner/Coordinator,21721,1905,171,202,227,922,2536,635,1438,232,38,0,50,572,29989
How much does a wedding in Dallas with 25 to 50 guests cost? The wedding is at some other location. The type of wedding is Elegant Rustic Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $4130.,None specified,Dallas,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $109 to the total amount spent.,some other location,Oranges,None,None,None,4130,130,272,2875,853,0,0,0,0,0,38,0,50,109,8260
How much does a summer wedding in Grand Rapids MI with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Elegant Traditional Intimate. The wedding color theme is Pinks. The estimated cost for this wedding is $17396.,Summer Wedding,Grand Rapids MI,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $232 to the total amount spent.,an event facility,Pinks,None,None,None,17396,2491,244,152,250,923,2547,858,1774,304,75,0,100,232,26939
How much does a fall wedding in Atlanta GA with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Elegant Simple Modern. The wedding color theme is Champagne. The estimated cost for this wedding is $28043.,Fall Wedding,Atlanta GA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $374 to the total amount spent.,a winery,Champagne,None,None,None,28043,2460,271,244,1285,4177,4982,1646,341,338,75,0,100,374,43787
How much does a fall wedding in Lyons CO with 50 to 100 guests cost? The type of wedding is Casual Simple Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $20143.,Fall Wedding,Lyons CO,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $269 to the total amount spent.,Greens,None,None,None,None,20143,561,211,295,996,3665,6595,178,303,2339,75,0,100,269,35286
How much does a summer wedding in South Vienna OH with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a family or friend's home. The type of wedding is Rustic Simple Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $31688.,Summer Wedding,South Vienna OH,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $127 to the total amount spent.,a church or other place of worship,Rustic Simple Farm/Barn,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Photography & Video,31688,1819,922,206,241,894,14664,3224,992,1398,250,0,300,127,56048
How much does a fall wedding in Orange Beach AL with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Elegant Garden Traditional. The wedding color theme is Champagne. The estimated cost for this wedding is $39054.,Fall Wedding,Orange Beach AL,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $223 to the total amount spent.,a church or other place of worship,Elegant Garden Traditional,Event Food Service Catering Bar Service,Event Location/Venue,Photography & Video,39054,2127,903,235,251,986,13828,3121,3676,1179,175,0,200,223,65360
How much does a winter wedding in Shreveport LA with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Garden Romantic Intimate. The wedding color theme is Browns. The estimated cost for this wedding is $27468.,Winter Wedding,Shreveport LA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $220 to the total amount spent.,a resort or hotel,Browns,None,None,None,27468,2163,472,216,244,860,7515,1757,2198,611,125,0,150,220,43504
How much does a spring wedding in Jersey City NJ with 50 to 100 guests cost? The wedding is at a banquet hall. The type of wedding is Elegant Romantic Modern. The wedding color theme is Black. The estimated cost for this wedding is $26530.,Spring Wedding,Jersey City NJ,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $354 to the total amount spent.,a banquet hall,Black,None,None,None,26530,2557,257,213,334,7664,2892,883,2416,348,75,0,100,354,44094
How much does a summer wedding in Oshkosh WI with 100 to 150 guests cost? The wedding is at a garden or park. The type of wedding is Fun Romantic Modern. The wedding color theme is Greens. The estimated cost for this wedding is $28792.,Summer Wedding,Oshkosh WI,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.,a garden or park,Greens,None,None,None,28792,475,387,233,255,1261,6328,1392,2134,534,125,0,150,230,41791
How much does a fall wedding with 50 to 100 guests cost? The type of wedding is Elegant Formal Modern. The wedding color theme is White. The estimated cost for this wedding is $28181.,Fall Wedding,None specified,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $376 to the total amount spent.,None specified,White,None,None,None,28181,2839,278,209,320,2926,7207,2500,368,308,75,0,100,376,45136
How much does a summer wedding in Rochester NY with 100 to 150 guests cost? The wedding is at a country club or golf course. The type of wedding is Fun Simple Traditional. The wedding color theme is Other. The estimated cost for this wedding is $43568.,Summer Wedding,Rochester NY,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $349 to the total amount spent.,a country club or golf course,Other,None,None,None,43568,1798,534,321,4754,8547,9319,2698,973,1188,125,0,150,349,73700
How much does a summer wedding in Appleton WI with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Elegant Formal Modern. The wedding color theme is Oranges. The estimated cost for this wedding is $34596.,Summer Wedding,Appleton WI,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $198 to the total amount spent.,a church or other place of worship,Elegant Formal Modern,Attire & Accessories (Wedding Dress Suit etc.),Event Location/Venue,Flowers & Decorations,34596,2749,631,174,269,1162,3038,2286,3520,835,175,0,200,198,49260
How much does a wedding in Fresno CA with more than 300 guests cost? The wedding is at a banquet hall. The type of wedding is DIY Romantic Experience. The wedding color theme is Other. The estimated cost for this wedding is $80662.,None specified,Fresno CA,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $202 to the total amount spent.,a banquet hall,Other,None,None,None,80662,3437,2687,260,300,979,39787,9581,7615,3237,400,0,300,202,148545
How much does a spring wedding in Glen Mills PA with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Elegant Rustic Farm/Barn. The wedding color theme is White. The estimated cost for this wedding is $21084.,Spring Wedding,Glen Mills PA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $281 to the total amount spent.,a farm or barn,White,None,None,None,21084,2924,263,200,321,1566,4204,854,2360,205,75,0,100,281,33981
How much does a wedding in Austin TX with more than 300 guests cost? The wedding is at a resort or hotel. The type of wedding is Fun.  The estimated cost for this wedding is $80771.,None specified,Austin TX,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $202 to the total amount spent.,a resort or hotel,None specified,None,None,None,80771,2641,1899,158,263,5293,31595,7253,6049,2500,400,0,300,202,138422
How much does a winter wedding in Sedona AZ with 25 to 50 guests cost? The type of wedding is Garden Romantic Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $22452.,Winter Wedding,Sedona AZ,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $591 to the total amount spent.,Greens,None,None,None,None,22452,3670,164,238,266,2350,2780,1445,526,112,38,0,50,591,34003
How much does a spring wedding in Wilmington NC with 25 to 50 guests cost? The type of wedding is Romantic Rustic Farm/Barn. The wedding color theme is Pinks. The estimated cost for this wedding is $18152.,Spring Wedding,Wilmington NC,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $478 to the total amount spent.,Pinks,None,None,None,None,18152,2098,125,154,261,1285,3364,1670,160,121,38,0,50,478,27390
How much does a summer wedding in Portland OR with 25 to 50 guests cost? The wedding is at a lakefront. The type of wedding is Fun Simple Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $24033.,Summer Wedding,Portland OR,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $632 to the total amount spent.,a lakefront,Greens,None,None,None,24033,2838,126,256,312,1095,1145,444,1659,386,38,0,50,632,32294
How much does a spring wedding with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Fun Romantic Traditional. The wedding color theme is Champagne. The estimated cost for this wedding is $34101.,Spring Wedding,None specified,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $136 to the total amount spent.,an event facility,Champagne,None,None,None,34101,1754,948,257,272,1042,8436,3271,4083,1328,250,0,300,136,55492
How much does a summer wedding in Moundridge KS with more than 300 guests cost? The wedding is at a farm or barn. The type of wedding is Casual Rustic Vintage. The wedding color theme is Other. The estimated cost for this wedding is $74252.,Summer Wedding,Moundridge KS,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $186 to the total amount spent.,a farm or barn,Other,None,None,None,74252,2180,2529,219,252,1226,24390,9456,8111,3302,400,0,300,186,125917
How much does a winter wedding in Birmingham AL with 25 to 50 guests cost? The wedding is at a garden or park. The type of wedding is Garden Romantic Intimate. The wedding color theme is Greens. The estimated cost for this wedding is $11768.,Winter Wedding,Birmingham AL,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $310 to the total amount spent.,a garden or park,Greens,None,None,None,11768,1780,108,163,243,781,1135,384,1435,92,38,0,50,310,17889
How much does a fall wedding in Philadelphia PA with less than 25 guests cost? The ceremony is at a courthouse or justice of the peace and reception is at a restaurant. The type of wedding is Romantic Simple Intimate. The wedding color theme is Blues. The estimated cost for this wedding is $9056.,Fall Wedding,Philadelphia PA,This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $604 to the total amount spent.,a courthouse or justice of the peace,Romantic Simple Intimate,Event Food Service Catering Bar Service,Jewelry (Rings and Other Jewelry),Photography & Video,9056,40,321,695,32,80,2745,0,0,0,15,0,25,604,12969
How much does a fall wedding in Leland NC with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Rustic Vintage Farm/Barn. The wedding color theme is Other. The estimated cost for this wedding is $16650.,Fall Wedding,Leland NC,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $222 to the total amount spent.,a farm or barn,Other,None,None,None,16650,1706,257,851,4002,3849,1024,385,374,2344,75,0,100,222,31442
How much does a fall wedding in Cincinnati OH with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant Formal Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $29668.,Fall Wedding,Cincinnati OH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $237 to the total amount spent.,a church or other place of worship,Elegant Formal Traditional,Event Food Service Catering Bar Service,Event Location/Venue,Flowers & Decorations,29668,2039,449,104,254,1985,7175,1606,2713,575,125,0,150,237,46568
How much does a summer wedding in Cincinnati OH with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Garden Romantic Theme. The wedding color theme is Other. The estimated cost for this wedding is $24225.,Summer Wedding,Cincinnati OH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $194 to the total amount spent.,an event facility,Other,None,None,None,24225,1709,418,153,254,927,6692,1712,1919,639,125,0,150,194,38648
How much does a summer wedding in Memphi with 100 to 150 guests cost? The type of wedding is Elegant Romantic Traditional. The wedding color theme is White. The estimated cost for this wedding is $24859.,Summer Wedding,Memphi,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $199 to the total amount spent.,White,None,None,None,None,24859,1919,477,143,414,6346,5809,2601,714,952,125,0,150,199,44234
How much does a spring wedding in Brattleboro VT with 100 to 150 guests cost? The wedding is at a historical building. The type of wedding is Garden Simple Traditional. The wedding color theme is Purples. The estimated cost for this wedding is $53593.,Spring Wedding,Brattleboro VT,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $429 to the total amount spent.,a historical building,Purples,None,None,None,53593,3731,931,251,288,6274,14747,3389,3669,1006,125,0,150,429,87879
How much does a winter wedding in Park City UT with 50 to 100 guests cost? The wedding is at a resort or hotel. The type of wedding is Romantic Rustic Farm/Barn. The wedding color theme is Reds. The estimated cost for this wedding is $31281.,Winter Wedding,Park City UT,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $417 to the total amount spent.,a resort or hotel,Reds,None,None,None,31281,2015,306,309,319,1347,3599,1055,3186,253,75,0,100,417,43670
How much does a summer wedding in Chantilly VA with 200 to 300 guests cost? The ceremony is at some other location and reception is at a banquet hall. The type of wedding is Romantic Traditional Unique. The wedding color theme is Blues. The estimated cost for this wedding is $61575.,Summer Wedding,Chantilly VA,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $246 to the total amount spent.,some other location,Romantic Traditional Unique,Event Food Service Catering Bar Service,Event Location/Venue,Photography & Video,61575,4467,963,250,325,2284,11302,3537,3931,848,250,0,300,246,89482
How much does a summer wedding in Half Moon Bay CA with 50 to 100 guests cost? The ceremony is at a garden or park and reception is at a banquet hall. The type of wedding is Elegant Rustic.  The estimated cost for this wedding is $48589.,Summer Wedding,Half Moon Bay CA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $648 to the total amount spent.,a garden or park,Elegant Rustic,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Planner/Coordinator,48589,3571,264,350,353,9833,4826,971,2478,757,75,0,100,648,71992
How much does a wedding in Portland OR with 100 to 150 guests cost? The wedding is at some other location. The type of wedding is Beach Casual Rustic. The wedding color theme is Champagne. The estimated cost for this wedding is $34854.,None specified,Portland OR,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $279 to the total amount spent.,some other location,Champagne,None,None,None,34854,2617,488,208,312,1075,7548,1617,2741,206,125,0,150,279,51666
How much does a fall wedding in West Orange NJ with 50 to 100 guests cost? The wedding is at some other location. The type of wedding is Elegant Garden Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $28793.,Fall Wedding,West Orange NJ,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $384 to the total amount spent.,some other location,Greens,None,None,None,28793,4407,244,253,334,3363,2853,1497,320,276,75,0,100,384,42340
How much does a spring wedding in Arcata CA with 100 to 150 guests cost? The wedding is at a private residence. The type of wedding is Casual Elegant Fun.  The estimated cost for this wedding is $31612.,Spring Wedding,Arcata CA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $253 to the total amount spent.,a private residence,None specified,None,None,None,31612,1575,561,89,296,1339,8268,1963,2817,742,125,0,150,253,49262
How much does a fall wedding in phoenix az with 25 to 50 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant Fun Simple. The wedding color theme is Greens. The estimated cost for this wedding is $22551.,Fall Wedding,phoenix az,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $593 to the total amount spent.,a country club or golf course,Greens,None,None,None,22551,2117,128,327,3534,1802,3238,1567,176,137,38,0,50,593,35577
How much does a spring wedding in Washington DC with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Elegant Fun Romantic. The wedding color theme is Gold. The estimated cost for this wedding is $76129.,Spring Wedding,Washington DC,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $305 to the total amount spent.,a church or other place of worship,Elegant Fun Romantic,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Event Location/Venue,76129,4066,984,330,325,2723,16769,3447,4380,1349,250,0,300,305,110502
How much does a fall wedding in Delray Beach F with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $37797.,Fall Wedding,Delray Beach F,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $216 to the total amount spent.,an event facility,Blues,None,None,None,37797,3276,650,211,334,3432,11310,3372,863,645,175,0,200,216,61890
How much does a summer wedding in Seattle with 200 to 300 guests cost? The type of wedding is Fun Unique Experience. The wedding color theme is Greens. The estimated cost for this wedding is $65015.,Summer Wedding,Seattle,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $260 to the total amount spent.,Greens,None,None,None,None,65015,2858,965,302,320,7208,16699,3544,3948,850,250,0,300,260,101709
How much does a winter wedding in Aurora OR with more than 300 guests cost? The wedding is at a farm or barn. The type of wedding is Garden Rustic Simple. The wedding color theme is Greens. The estimated cost for this wedding is $82263.,Winter Wedding,Aurora OR,This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $206 to the total amount spent.,a farm or barn,Greens,None,None,None,82263,2282,2236,259,958,36342,12979,7031,2044,2885,400,0,300,206,149279
How much does a fall wedding in Pittsboro NC with 50 to 100 guests cost? The type of wedding is Elegant Romantic Vintage. The wedding color theme is Gold. The estimated cost for this wedding is $22897.,Fall Wedding,Pittsboro NC,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $305 to the total amount spent.,Gold,None,None,None,None,22897,2418,260,253,267,976,4003,1024,1967,325,75,0,100,305,34390
How much does a winter wedding in Newport Beach CA with 50 to 100 guests cost? The type of wedding is Elegant Formal Romantic. The wedding color theme is Silver. The estimated cost for this wedding is $25079.,Winter Wedding,Newport Beach CA,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $334 to the total amount spent.,Silver,None,None,None,None,25079,2079,284,336,330,4354,2565,994,2994,448,75,0,100,334,39463
How much does a fall wedding in Bedford NH with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Elegant Formal Romantic. The wedding color theme is Reds. The estimated cost for this wedding is $48154.,Fall Wedding,Bedford NH,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $385 to the total amount spent.,a resort or hotel,Reds,None,None,None,48154,2629,478,328,1388,8108,10704,3068,694,938,125,0,150,385,76489
How much does a fall wedding in San Diego CA with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a restaurant. The type of wedding is Fun Garden Simple. The wedding color theme is White. The estimated cost for this wedding is $40675.,Fall Wedding,San Diego CA,This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $325 to the total amount spent.,a church or other place of worship,Fun Garden Simple,Entertainment (DJ Live Band Musician/s etc.),Event Food Service Catering Bar Service,Event Location/Venue,40675,2466,499,219,330,2072,7807,1647,2552,729,125,0,150,325,58996
How much does a spring wedding in Baton Rouge LA with 200 to 300 guests cost? The type of wedding is Elegant Theme Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $33934.,Spring Wedding,Baton Rouge LA,This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $136 to the total amount spent.,Blues,None,None,None,None,33934,2826,1072,255,10319,7995,3568,1242,842,2191,250,0,300,136,64244
How much does a summer wedding in Miami FL with 25 to 50 guests cost? The type of wedding is Casual Fun Simple. The wedding color theme is Champagne. The estimated cost for this wedding is $10985.,Summer Wedding,Miami FL,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $289 to the total amount spent.,Champagne,None,None,None,None,10985,1820,124,148,264,1213,2764,1522,169,154,38,0,50,289,19163
How much does a spring wedding in Sugar Land TX with 150 to 200 guests cost? The type of wedding is Elegant Romantic Traditional. The wedding color theme is Champagne. The estimated cost for this wedding is $37317.,Spring Wedding,Sugar Land TX,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $213 to the total amount spent.,Champagne,None,None,None,None,37317,2807,626,368,271,1026,8291,2122,3043,787,175,0,200,213,56658
How much does a spring wedding with 25 to 50 guests cost? The type of wedding is Elegant Romantic Traditional. The wedding color theme is Black. The estimated cost for this wedding is $18649.,Spring Wedding,None specified,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $491 to the total amount spent.,None specified,Black,None,None,None,18649,2287,141,255,268,987,1907,488,1617,178,38,0,50,491,26777
How much does a fall wedding in Saint Louis MO with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun Garden Romantic. The wedding color theme is Black. The estimated cost for this wedding is $31870.,Fall Wedding,Saint Louis MO,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $182 to the total amount spent.,an event facility,Black,None,None,None,31870,1743,606,177,256,1120,8387,2146,1976,515,175,0,200,182,48796
How much does a summer wedding with 50 to 100 guests cost? The wedding is at some other location. The type of wedding is Fun Rustic Simple. The wedding color theme is Greens. The estimated cost for this wedding is $29180.,Summer Wedding,None specified,This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $389 to the total amount spent.,some other location,Greens,None,None,None,29180,3775,210,220,321,1648,3834,739,999,466,75,0,100,389,41392
How much does a fall wedding in Miami OK with 25 to 50 guests cost? The ceremony is at a courthouse or justice of the peace and reception is at an event facility. The type of wedding is DIY Fun Theme. The wedding color theme is Black. The estimated cost for this wedding is $7015.,Fall Wedding,Miami OK,This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $185 to the total amount spent.,a courthouse or justice of the peace,DIY Fun Theme,Flowers & Decorations,Photography & Video,Planner/Coordinator,7015,202,1790,1001,84,144,1743,0,0,0,38,0,50,185,11979
How much does a summer wedding in Minneapolis MN with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Fun Romantic Modern. The wedding color theme is Blues. The estimated cost for this wedding is $35049.,Summer Wedding,Minneapolis MN,This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $200 to the total amount spent.,an event facility,Blues,None,None,None,35049,4057,570,173,278,4666,5287,2050,2912,801,175,0,200,200,55843
